// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	FreeAcc_X	FreeAcc_Y	FreeAcc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3
50181	NaN	9.780592	-0.483516	-1.023632	0.000000	-0.000000	0.033205	1.000000	0.000066	0.000028	0.000095
50182	NaN	9.788049	-0.694867	-1.008183	0.000000	0.000000	0.051651	1.000000	0.000093	0.000009	0.000093
50183	NaN	9.821086	-0.612203	-0.997601	0.013050	-0.028669	0.077851	1.000000	0.000064	0.000005	0.000078
50184	NaN	9.805597	-0.503609	-1.041254	-0.074185	0.051290	0.060480	1.000000	0.000061	0.000013	0.000071
50185	NaN	9.831826	-0.580468	-0.913188	-0.048732	-0.095930	0.077918	1.000000	0.000005	0.000027	0.000082
50186	NaN	9.792342	-0.643581	-0.917539	0.014205	-0.109405	0.042964	1.000000	-0.000019	0.000023	0.000081
50187	NaN	9.802096	-0.549652	-0.979552	-0.055361	-0.019004	0.053381	1.000000	0.000006	0.000019	0.000081
50188	NaN	9.833234	-0.540291	-0.881336	-0.101396	-0.109559	0.073610	1.000000	-0.000027	-0.000011	0.000089
50189	NaN	9.792232	-0.571424	-0.913865	-0.059212	-0.086137	0.038127	1.000000	-0.000057	-0.000009	0.000098
50190	NaN	9.809426	-0.609979	-0.957849	-0.011668	-0.058883	0.062068	1.000000	-0.000020	0.000006	0.000096
50191	NaN	9.836101	-0.581677	-0.945447	-0.046568	-0.061982	0.085549	1.000000	-0.000046	0.000000	0.000112
50192	NaN	9.835981	-0.583734	-0.945427	-0.046568	-0.061982	0.085549	1.000000	-0.000017	0.000006	0.000103
50193	NaN	9.816954	-0.593781	-0.932259	-0.041255	-0.075287	0.065920	1.000000	-0.000032	0.000013	0.000084
50194	NaN	9.811755	-0.681715	-0.902709	0.030284	-0.132024	0.063132	1.000000	-0.000046	0.000002	0.000088
50195	NaN	9.815119	-0.642001	-0.962914	0.011608	-0.061157	0.070229	1.000000	-0.000041	0.000019	0.000087
