// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	FreeAcc_X	FreeAcc_Y	FreeAcc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3
50181	NaN	4.160531	-0.505100	8.983034	0.000000	0.000000	0.099933	1.000000	0.000034	0.000092	0.000058
50182	NaN	4.159323	-0.450353	8.982889	-0.000000	0.000000	0.096656	1.000000	0.000045	0.000063	0.000073
50183	NaN	4.176432	-0.438798	9.010449	0.040420	0.000984	0.128222	1.000000	0.000045	0.000084	0.000046
50184	NaN	4.152230	-0.428649	8.934050	0.047427	-0.010176	0.048329	1.000000	0.000042	0.000070	0.000070
50185	NaN	4.149191	-0.416978	8.975314	0.059060	0.009579	0.083895	1.000000	0.000033	0.000073	0.000064
50186	NaN	4.153997	-0.395036	8.984672	0.081574	0.009532	0.093337	1.000000	0.000022	0.000083	0.000055
50187	NaN	4.178898	-0.373686	8.980339	0.105664	-0.014556	0.098818	1.000000	0.000009	0.000083	0.000078
50188	NaN	4.151161	-0.395936	8.985943	0.081539	0.009528	0.093337	1.000000	-0.000005	0.000055	0.000081
50189	NaN	4.176121	-0.429568	8.982284	0.051219	-0.018740	0.102098	1.000000	0.000005	0.000071	0.000080
50190	NaN	4.152806	-0.418376	9.037250	0.061207	0.025010	0.141626	1.000000	-0.000013	0.000076	0.000069
50191	NaN	4.147110	-0.398110	8.987717	0.081249	0.009520	0.093340	1.000000	-0.000010	0.000081	0.000079
50192	NaN	4.177988	-0.409993	8.992908	0.073557	-0.018793	0.111541	1.000000	-0.000010	0.000081	0.000079
50193	NaN	4.137823	-0.421743	8.980338	0.058446	0.009568	0.083899	1.000000	-0.000006	0.000078	0.000092
50194	NaN	4.168750	-0.433769	8.985506	0.050753	-0.018745	0.102100	1.000000	-0.000021	0.000077	0.000085
50195	NaN	4.187614	-0.435167	8.972378	0.051984	-0.042771	0.098141	1.000000	-0.000021	0.000065	0.000079
50196	NaN	4.186135	-0.435993	8.973028	0.051984	-0.042771	0.098141	1.000000	-0.000002	0.000093	0.000069
50197	NaN	4.206664	-0.448747	8.919328	0.041523	-0.086424	0.058615	1.000000	-0.000011	0.000059	0.000106
50198	NaN	4.177113	-0.459865	8.965509	0.028993	-0.042627	0.088699	1.000000	-0.000021	0.000077	0.000085
50199	NaN	4.195841	-0.461111	8.952469	0.030059	-0.066419	0.084741	1.000000	-0.000006	0.000081	0.000071
50200	NaN	4.186334	-0.472185	8.985045	0.019139	-0.046658	0.110863	1.000000	-0.000004	0.000074	0.000075
50201	NaN	4.198796	-0.494990	8.963316	-0.002352	-0.070268	0.097459	1.000000	0.000013	0.000083	0.000070
50202	NaN	4.162751	-0.526894	9.000907	-0.037398	-0.026423	0.118090	1.000000	0.000053	0.000074	0.000063
50203	NaN	4.142474	-0.591756	8.975502	-0.105452	-0.025786	0.089743	1.000000	0.000100	0.000078	0.000047
50204	NaN	4.121472	-0.709997	8.951196	-0.227320	-0.029832	0.064659	1.000000	0.000161	0.000112	0.000006
50205	NaN	4.118231	-0.640135	8.992089	-0.161401	-0.005378	0.096964	1.000000	0.000260	0.000094	0.000013
50206	NaN	4.085760	-0.690459	8.948786	-0.219625	-0.000970	0.046456	1.000000	0.000264	0.000073	-0.000028
50207	NaN	4.136258	-0.520966	8.978672	-0.050549	-0.020520	0.086485	1.000000	0.000326	0.000104	-0.000047
50208	NaN	4.155641	-0.405979	8.964195	0.059729	-0.036194	0.075997	1.000000	0.000320	0.000088	-0.000055
50209	NaN	4.148307	-0.367152	8.955498	0.092087	-0.031339	0.063280	1.000000	0.000323	0.000081	-0.000051
50210	NaN	4.178237	-0.251394	8.999550	0.204649	-0.031558	0.110512	1.000000	0.000299	0.000079	-0.000043
50211	NaN	4.156926	-0.191222	9.012942	0.257359	-0.002688	0.111197	1.000000	0.000240	0.000086	-0.000035
50212	NaN	4.147804	-0.142641	9.044541	0.300772	0.021264	0.134042	1.000000	0.000197	0.000071	-0.000032
50213	NaN	4.121827	-0.173038	9.009655	0.264125	0.026205	0.093010	1.000000	0.000117	0.000078	0.000015
50214	NaN	4.131166	-0.115725	9.068062	0.320737	0.045848	0.147469	1.000000	0.000092	0.000066	0.000056
50215	NaN	4.104847	-0.203124	9.034244	0.228846	0.046488	0.109715	1.000000	0.000025	0.000073	0.000080
50216	NaN	4.103589	-0.203750	9.034802	0.228846	0.046489	0.109715	1.000000	-0.000016	0.000062	0.000092
50217	NaN	4.128041	-0.292749	9.032564	0.141907	0.014275	0.121763	1.000000	-0.000046	0.000068	0.000105
50218	NaN	4.146914	-0.295031	9.019513	0.143523	-0.009763	0.117814	1.000000	-0.000062	0.000078	0.000103
50219	NaN	4.172956	-0.396553	8.976777	0.044470	-0.061662	0.094258	1.000000	-0.000071	0.000078	0.000119
50220	NaN	4.199660	-0.443526	8.932803	0.002691	-0.109653	0.067434	1.000000	-0.000061	0.000052	0.000113
50221	NaN	4.257277	-0.434952	8.933042	0.016213	-0.161483	0.091175	1.000000	-0.000043	0.000080	0.000103
50222	NaN	4.282414	-0.415054	8.928645	0.040326	-0.185561	0.096701	1.000000	-0.000042	0.000068	0.000097
50223	NaN	4.295160	-0.439046	8.906929	0.016655	-0.208488	0.083312	1.000000	-0.000040	0.000061	0.000101
50224	NaN	4.267760	-0.407251	8.911404	0.046872	-0.180226	0.074581	1.000000	-0.000015	0.000082	0.000086
50225	NaN	4.237900	-0.417907	8.957581	0.031932	-0.134851	0.104646	1.000000	-0.000005	0.000067	0.000086
50226	NaN	4.204797	-0.353074	8.952314	0.093999	-0.102372	0.083251	1.000000	-0.000014	0.000070	0.000081
50227	NaN	4.195279	-0.364281	8.984834	0.080636	-0.080752	0.109374	1.000000	-0.000018	0.000070	0.000088
50228	NaN	4.126758	-0.385789	9.017600	0.053292	-0.008584	0.111685	1.000000	-0.000006	0.000079	0.000092
50229	NaN	4.160215	-0.355067	8.981273	0.086043	-0.050657	0.091189	1.000000	-0.000016	0.000062	0.000092
50230	NaN	4.184919	-0.389243	8.977969	0.055821	-0.078902	0.099913	1.000000	-0.000021	0.000077	0.000085
50231	NaN	4.163152	-0.389724	8.992206	0.051359	-0.052837	0.103868	1.000000	-0.000010	0.000082	0.000078
50232	NaN	4.188273	-0.369238	8.987900	0.075471	-0.076905	0.109445	1.000000	-0.000016	0.000074	0.000098
50233	NaN	4.183076	-0.349532	8.938216	0.093669	-0.090606	0.061269	1.000000	-0.000020	0.000075	0.000106
50234	NaN	4.165734	-0.316736	9.001628	0.126047	-0.046815	0.110260	1.000000	-0.000034	0.000077	0.000108
50235	NaN	4.196442	-0.329662	9.007095	0.115492	-0.073048	0.128534	1.000000	-0.000051	0.000092	0.000124
50236	NaN	4.162539	-0.320521	9.002972	0.123248	-0.044756	0.110305	1.000000	-0.000062	0.000076	0.000125
50237	NaN	4.148352	-0.366528	8.986298	0.075024	-0.042534	0.091316	1.000000	-0.000069	0.000086	0.000107
