// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	FreeAcc_X	FreeAcc_Y	FreeAcc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3
50181	NaN	5.544976	0.342833	8.138834	0.000000	-0.000000	0.041495	1.000000	-0.000010	0.000031	0.000037
50182	NaN	5.501099	0.373977	8.129699	0.000000	0.000000	0.010447	1.000000	-0.000015	0.000040	0.000047
50183	NaN	5.506469	0.340585	8.119974	-0.013278	-0.012375	0.004178	1.000000	-0.000034	0.000029	0.000048
50184	NaN	5.505746	0.274097	8.153338	-0.060619	-0.062474	0.028945	1.000000	-0.000042	0.000032	0.000041
50185	NaN	5.505473	0.338397	8.120741	-0.013389	-0.012377	0.004178	1.000000	-0.000031	0.000036	0.000048
50186	NaN	5.508787	0.330669	8.144357	-0.025503	-0.014289	0.025288	1.000000	-0.000048	0.000033	0.000050
50187	NaN	5.460902	0.302295	8.144957	-0.072463	-0.019129	-0.002104	1.000000	-0.000051	0.000026	0.000050
50188	NaN	5.478084	0.314247	8.171854	-0.067056	-0.008260	0.030218	1.000000	-0.000046	0.000041	0.000051
50189	NaN	5.463658	0.293095	8.168986	-0.084508	-0.021022	0.019007	1.000000	-0.000048	0.000033	0.000050
50190	NaN	5.447315	0.297947	8.199369	-0.108551	-0.002220	0.035148	1.000000	-0.000044	0.000025	0.000041
50191	NaN	5.456946	0.323058	8.179777	-0.078735	0.012505	0.025251	1.000000	-0.000051	0.000026	0.000050
50192	NaN	5.474235	0.334998	8.206612	-0.073326	0.023373	0.057573	1.000000	-0.000051	0.000027	0.000042
50193	NaN	5.472024	0.314338	8.150390	-0.054402	-0.006291	0.009111	1.000000	-0.000051	0.000027	0.000042
50194	NaN	5.501094	0.261341	8.156897	-0.060177	-0.062411	0.028948	1.000000	-0.000054	0.000020	0.000041
50195	NaN	5.526642	0.280467	8.107273	-0.006115	-0.066453	0.002905	1.000000	-0.000034	0.000030	0.000040
50196	NaN	5.510495	0.285432	8.137517	-0.030157	-0.047652	0.019049	1.000000	-0.000051	0.000003	0.000039
50197	NaN	5.526137	0.278253	8.107694	-0.005703	-0.066271	0.002907	1.000000	-0.000035	0.000031	0.000032
50198	NaN	5.543633	0.290570	8.134384	-0.000290	-0.055402	0.035228	1.000000	-0.000028	-0.000004	0.000043
50199	NaN	5.519876	0.308904	8.118194	0.000298	-0.032461	0.009149	1.000000	-0.000036	0.000032	0.000024
50200	NaN	5.513577	0.340374	8.128698	0.005891	0.001033	0.015389	1.000000	-0.000044	0.000025	0.000041
50201	NaN	5.513241	0.339130	8.128977	0.006279	0.001379	0.015388	1.000000	-0.000054	0.000020	0.000041
50202	NaN	5.502842	0.311291	8.149138	-0.023354	-0.013313	0.025295	1.000000	-0.000057	0.000027	0.000059
50203	NaN	5.532041	0.323486	8.122890	0.018605	-0.018986	0.020357	1.000000	-0.000050	0.000049	0.000060
50204	NaN	5.568848	0.322485	8.143066	0.035952	-0.028827	0.057645	1.000000	-0.000065	0.000030	0.000052
50205	NaN	5.568544	0.275551	8.053558	0.061389	-0.089688	-0.018169	1.000000	-0.000078	0.000042	0.000055
50206	NaN	5.589360	0.280147	8.103841	0.054698	-0.080723	0.035264	1.000000	-0.000081	0.000048	0.000080
50207	NaN	5.604467	0.272070	8.074432	0.078852	-0.098884	0.019125	1.000000	-0.000073	0.000056	0.000056
50208	NaN	5.560476	0.302033	8.065501	0.067097	-0.055552	-0.011931	1.000000	-0.000084	0.000042	0.000072
50209	NaN	5.547698	0.299222	8.119268	0.030831	-0.037802	0.025332	1.000000	-0.000098	0.000046	0.000074
